ds,y,add_1,add_2,add_3
2020-03-05 14:30:00,1255972.0,3,0,0
2020-03-05 14:45:00,1255937.0,3,0,0
2020-03-05 15:00:00,1256415.0,3,0,0
2020-03-05 15:15:00,1256527.0,3,0,0
2020-03-05 15:30:00,1256981.0,3,0,0
2020-03-05 15:45:00,1257285.0,3,0,0
2020-03-05 16:00:00,1257442.0,3,0,0
2020-03-05 16:15:00,1257725.0,3,0,0
2020-03-05 16:30:00,1258083.0,3,0,0
2020-03-05 16:45:00,1258489.0,3,0,0
2020-03-05 17:00:00,1259239.0,3,0,0
2020-03-05 17:15:00,1259510.0,3,0,0
2020-03-05 17:30:00,1260172.0,3,0,0
2020-03-05 17:45:00,1260549.0,3,0,0
2020-03-05 18:00:00,1260888.0,3,0,0
2020-03-05 18:15:00,1261245.0,3,0,0
2020-03-05 18:30:00,1261513.0,3,0,0
2020-03-05 18:45:00,1260885.0,3,0,0
2020-03-05 19:00:00,1260967.0,3,0,0
2020-03-05 19:15:00,1260976.0,3,0,0
2020-03-05 19:30:00,1260739.0,3,0,0
2020-03-05 19:45:00,1260381.0,3,0,0
2020-03-05 20:00:00,1260004.0,3,0,0
2020-03-05 20:15:00,1259534.0,3,0,0
2020-03-05 20:30:00,1258743.0,3,0,0
2020-03-05 20:45:00,1257852.0,3,0,0
2020-03-05 21:00:00,1256728.0,3,0,0
2020-03-05 21:15:00,1255512.0,3,0,0
2020-03-05 21:30:00,1252502.0,3,0,0
2020-03-05 21:45:00,1249932.0,3,0,0
2020-03-05 22:00:00,1246271.0,3,0,0
2020-03-05 22:15:00,1242121.0,3,0,0
2020-03-05 22:30:00,1235514.0,3,0,0
2020-03-05 22:45:00,1229128.0,3,0,0
2020-03-05 23:00:00,1221736.0,3,0,0
2020-03-05 23:15:00,1214518.0,3,0,0
2020-03-05 23:30:00,1206943.0,3,0,0
2020-03-05 23:45:00,1199564.0,3,0,0
2020-03-06 00:00:00,1191859.0,4,0,0
2020-03-06 00:15:00,1185168.0,4,0,0
2020-03-06 00:30:00,1178882.0,4,0,0
2020-03-06 00:45:00,1173226.0,4,0,0
2020-03-06 01:00:00,1167809.0,4,0,0
2020-03-06 01:15:00,1163833.0,4,0,0
2020-03-06 01:30:00,1159915.0,4,0,0
2020-03-06 01:45:00,1156872.0,4,0,0
2020-03-06 02:00:00,1152706.0,4,0,0
2020-03-06 02:15:00,1150383.0,4,0,0
2020-03-06 02:30:00,1148448.0,4,0,0
2020-03-06 02:45:00,1146842.0,4,0,0
2020-03-06 03:00:00,1145320.0,4,0,0
2020-03-06 03:15:00,1144247.0,4,0,0
2020-03-06 03:30:00,1143170.0,4,0,0
2020-03-06 03:45:00,1142598.0,4,0,0
2020-03-06 04:00:00,1141953.0,4,0,0
2020-03-06 04:15:00,1141790.0,4,0,0
2020-03-06 04:30:00,1141576.0,4,0,0
2020-03-06 04:45:00,1141869.0,4,0,0
2020-03-06 05:00:00,1142399.0,4,0,0
2020-03-06 05:15:00,1143477.0,4,0,0
2020-03-06 05:30:00,1144854.0,4,0,0
2020-03-06 05:45:00,1147297.0,4,0,0
2020-03-06 06:00:00,1150026.0,4,0,0
2020-03-06 06:15:00,1153492.0,4,0,0
2020-03-06 06:30:00,1158004.0,4,0,0
2020-03-06 06:45:00,1164260.0,4,0,0
2020-03-06 07:00:00,1171207.0,4,0,0
2020-03-06 07:15:00,1178340.0,4,0,0
2020-03-06 07:30:00,1185319.0,4,0,0
2020-03-06 07:45:00,1191908.0,4,0,0
2020-03-06 08:00:00,1198795.0,4,0,0
2020-03-06 08:15:00,1205057.0,4,0,0
2020-03-06 08:30:00,1211009.0,4,0,0
2020-03-06 08:45:00,1216577.0,4,0,0
2020-03-06 09:00:00,1222261.0,4,0,0
2020-03-06 09:15:00,1227229.0,4,0,0
2020-03-06 09:30:00,1231643.0,4,0,0
2020-03-06 09:45:00,1235118.0,4,0,0
2020-03-06 10:00:00,1238430.0,4,0,0
2020-03-06 10:15:00,1241185.0,4,0,0
2020-03-06 10:30:00,1243538.0,4,0,0
2020-03-06 10:45:00,1245511.0,4,0,0
2020-03-06 11:00:00,1247240.0,4,0,0
2020-03-06 11:15:00,1248738.0,4,0,0
2020-03-06 11:30:00,1250338.0,4,0,0
2020-03-06 11:45:00,1251341.0,4,0,0
2020-03-06 12:00:00,1252839.0,4,0,0
2020-03-06 12:15:00,1253982.0,4,0,0
2020-03-06 12:30:00,1254509.0,4,0,0
2020-03-06 12:45:00,1254961.0,4,0,0
2020-03-06 13:00:00,1255569.0,4,0,0
2020-03-06 13:15:00,1255808.0,4,0,0
2020-03-06 13:30:00,1256266.0,4,0,0
2020-03-06 13:45:00,1256368.0,4,0,0
2020-03-06 14:00:00,1256811.0,4,0,0
2020-03-06 14:15:00,1257057.0,4,0,0
