country_id,IMPORTANCE,REQ_SUCCESS_RATE,DIVINE_REQ_SUCCESS_RATE,REQ_SUCCESS,SCALER_REQ_SUCCESS_DRIFT,REQ_SUM,SCALER_REQ_SUM_DRIFT,DIVINE_REQ_SUCCESS,DIVINE_REQ_SUM,REQ_SUCCESS_RATE_DRIFT,REQ_SUCCESS_RATE_DRIFT_FLAG,COUNT,WARN_TIME,IS_REAL_ALARM
26,97,98.25,98.53,64236.0,0.11377205984274237,65379.0,0.06978423374335802,99739.0,101228.0,0.28,0.0,1,0,1
12,99,99.67,99.27,13804.0,0.25343066539542786,13850.0,0.15497777929018872,11977.0,12065.0,0.4,1.0,1,0,0
20,99,84.14,89.54,4845.0,0.16879215420080498,5758.0,0.11266276723890102,5738.0,6408.0,5.4,0.0,6,1,1
12,99,80.49,95.24,7430.0,0.13548936755286106,9231.0,0.10538505652136251,10275.0,10788.0,14.75,0.0,6,2,1
26,97,90.23,96.73,76112.0,0.17426298711693766,84354.0,0.11741643240387319,88063.0,91038.0,6.5,0.0,6,2,1
21,98,92.33,98.67,182033.0,0.1827768987163082,197165.0,0.12254730971710419,203323.0,206063.0,6.34,0.0,6,1,1
7,100,92.77,98.5,103614.0,0.1614847137952278,111694.0,0.10752445146117541,126704.0,128638.0,5.73,0.0,6,1,1
13,97,79.03,91.38,6568.0,0.16086158496375144,8311.0,0.12019093620245737,8054.0,8814.0,12.35,0.0,6,3,1
12,99,98.99,98.96,21390.0,0.24796589122888132,21608.0,0.152315325168133,18885.0,19084.0,0.03,1.0,1,1,0
12,99,99.15,99.85,15446.0,0.23818077737540239,15579.0,0.14765900213847016,14080.0,14101.0,0.7,0.0,1,3,0
7,100,97.91,97.44,398979.0,0.25768320914907283,407494.0,0.15743527843535898,341584.0,350553.0,0.47,1.0,1,5,1
10,99,88.4,96.79,39075.0,0.16932485860954496,44204.0,0.11741516168084462,46171.0,47707.0,8.39,0.0,1,4,1
21,98,98.38,99.18,91556.0,0.035203969074376694,93061.0,0.021429952745001486,255763.0,257871.0,0.8,0.0,1,0,1
12,99,99.54,85.02,13618.0,0.24642595164979914,13681.0,0.12353452587146886,12083.0,14212.0,14.52,1.0,2,1,0
7,100,99.66,95.34,171718.0,0.2512942925494645,172299.0,0.14601681560204297,150003.0,157331.0,4.32,1.0,2,1,0
12,99,99.57,94.88,8523.0,0.18591127590418063,8560.0,0.1030688609055031,9400.0,10166.0,4.69,1.0,1,2,0
15,91,98.02,98.75,19046.0,0.2736288806939336,19430.0,0.16977236920149114,15534.0,15731.0,0.73,0.0,1,0,0
13,97,69.5,90.44,9916.0,0.19432277679444807,14267.0,0.12659677492051977,10579.0,14548.0,20.94,0.0,1,7,1
4,95,99.87,99.41,10317.0,0.1514360267573148,10330.0,0.09213248420249279,13207.0,13285.0,0.46,1.0,1,1,0
4,95,98.35,97.89,9696.0,0.14601159038716188,9859.0,0.08878834562880565,12734.0,13009.0,0.46,1.0,1,0,0
26,97,97.5,98.55,28240.0,0.02486077922665567,28964.0,0.015130144625310543,88164.0,89463.0,1.05,0.0,1,2,1
10,99,98.73,96.79,35097.0,0.17927624081244412,35547.0,0.09647146194522825,39768.0,44260.0,1.94,1.0,1,0,0
4,95,99.95,99.61,10192.0,0.2760212062333788,10197.0,0.16900698154629135,8254.0,8286.0,0.34,1.0,1,0,0
1,96,80.76,94.08,7464.0,0.20538405707453386,9242.0,0.12654432525964607,7635.0,9427.0,13.32,0.0,1,17,1
20,99,90.3,93.81,8143.0,0.2137795364019668,9018.0,0.13791465345356566,8077.0,8610.0,3.51,0.0,1,0,0
13,97,90.88,94.04,12171.0,0.19951623455940787,13392.0,0.12808148530242208,12728.0,13535.0,3.16,0.0,1,0,0
10,99,95.44,97.88,46038.0,0.16449017116479003,48240.0,0.10441216481789446,55554.0,56757.0,2.44,0.0,1,0,1
